ensembl_gene_id,hgnc_symbol,source,team,study,input_data,details
ENSG00000137076,TLN1,Community,Chang Lab,"Mayo, ROSMAP","Genetics, RNA",
ENSG00000137076,TLN1,AMP-AD,MSSM - Zhang Lab,MSBB,"Genetics, RNA",
ENSG00000174125,TLR1,AMP-AD,Mayo-UFL-ISB,Mayo,RNA,
ENSG00000137462,TLR2,AMP-AD,Mayo-UFL-ISB,Mayo,RNA,
ENSG00000137462,TLR2,TREAT-AD,IUSM-Purdue,"GSE5281, GSE48350, GSE33000, GSE44772, ROSMAP, MSBB, Mayo, ABA",RNA,
ENSG00000136869,TLR4,AMP-AD,Mayo-UFL-ISB,Mayo,RNA,
ENSG00000187554,TLR5,AMP-AD,Mayo-UFL-ISB,Mayo,RNA,
ENSG00000196664,TLR7,TREAT-AD,IUSM-Purdue,"GSE5281, GSE48350, GSE33000, GSE44772, ROSMAP, MSBB, Mayo, ABA",RNA,
ENSG00000213996,TM6SF2,AMP-AD,Duke,"AIBL, ADNI","Metabolomics, Genetics",
ENSG00000135926,TMBIM1,AMP-AD,MSSM - Zhang Lab,MSBB,"Genetics, RNA",
ENSG00000144339,TMEFF2,AMP-AD,Emory,"Banner, ROSMAP, MSBB, Emory",Protein,
ENSG00000144339,TMEFF2,TREAT-AD,Emory-Sage-SGC,"Banner, ROSMAP, MSBB, Emory",Protein,
ENSG00000183160,TMEM119,TREAT-AD,IUSM-Purdue,"GSE5281, GSE48350, GSE33000, GSE44772, ROSMAP, MSBB, Mayo, ABA",RNA,
ENSG00000198792,TMEM184B,Community,Chang Lab,"Mayo, ROSMAP","Genetics, RNA",
ENSG00000198133,TMEM229B,AMP-AD,Duke,ADNI,"Genetics, Metabolomics",
ENSG00000134825,TMEM258,AMP-AD,Duke,"AIBL, ADNI","Metabolomics, Genetics",
ENSG00000120802,TMPO,AMP-AD,Emory,"ACT, BLSA, Banner",Protein,
ENSG00000166479,TMX3,AMP-AD,Columbia-Rush,ROSMAP,"Protein, Clinical",
ENSG00000145779,TNFAIP8,AMP-AD,MSSM - Roussos Lab,HBI_scRNAseq,RNA,
ENSG00000164761,TNFRSF11B,AMP-AD,MSSM - Roussos Lab,FreshMicro,RNA,
ENSG00000067182,TNFRSF1A,Community,Chang Lab,"ROSMAP, Mayo, Kronos, Rush","Genetics, RNA",
ENSG00000067182,TNFRSF1A,AMP-AD,MSSM - Zhang Lab,MSBB,"Genetics, RNA",
ENSG00000079308,TNS1,AMP-AD,MSSM - Zhang Lab,MSBB,Protein,
ENSG00000154174,TOMM70,AMP-AD,Emory,"ACT, BLSA, Banner",Protein,
ENSG00000047410,TPR,AMP-AD,MSSM - Zhang Lab,MSBB,Protein,
ENSG00000169902,TPST1,Community,Chang Lab,"Mayo, ROSMAP, Kronos, Rush","Genetics, RNA",
ENSG00000095970,TREM2,AMP-AD,Mayo-UFL-ISB,Mayo,RNA,
ENSG00000095970,TREM2,TREAT-AD,IUSM-Purdue,"GSE5281, GSE48350, GSE33000, GSE44772, ROSMAP, MSBB, Mayo, ABA","Genetics, RNA",
ENSG00000161911,TREML1,AMP-AD,Mayo-UFL-ISB,Mayo,RNA,
ENSG00000072657,TRHDE,AMP-AD,MSSM - Roussos Lab,HBI_scRNAseq,RNA,
ENSG00000100106,TRIOBP,AMP-AD,Columbia-Rush,ROSMAP,"Genetics, RNA, Protein, Clinical",
ENSG00000138741,TRPC3,Resilience-AD,JAX-VUMC-UW Resilience,AD-BXD mice,"Protein, Genetics",
ENSG00000134160,TRPM1,AMP-AD,ASU,VirusResilience,RNA,
ENSG00000156298,TSPAN7,AMP-AD,MSSM - Zhang Lab,MSBB,Protein,
ENSG00000128881,TTBK2,AMP-AD,MSSM - Zhang Lab,MSBB,"Genetics, Protein",
ENSG00000141540,TTYH2,Community,Chang Lab,"Mayo, ROSMAP, Kronos, Rush","Genetics, RNA",
ENSG00000258947,TUBB3,AMP-AD,Emory,"ACT, BLSA, Banner",Protein,
ENSG00000178952,TUFM,AMP-AD,Columbia-Rush,ROSMAP,"Protein, Clinical",
ENSG00000011600,TYROBP,AMP-AD,Mayo-UFL-ISB,Mayo,RNA,
ENSG00000011600,TYROBP,AMP-AD,MSSM - Zhang Lab,HBTRC,"Genetics, RNA",
ENSG00000011600,TYROBP,TREAT-AD,IUSM-Purdue,"GSE5281, GSE48350, GSE33000, GSE44772, ROSMAP, MSBB, Mayo, ABA","Genetics, RNA",
ENSG00000077152,UBE2T,Community,Chang Lab,ROSMAP,"Genetics, RNA",
ENSG00000174607,UGT8,AMP-AD,Mayo-UFL-ISB,Mayo,RNA,
ENSG00000175970,UNC119B,Community,Chang Lab,Mayo,"Genetics, RNA",
ENSG00000130477,UNC13A,AMP-AD,MSSM - Zhang Lab,MSBB,"Genetics, RNA",
ENSG00000182168,UNC5C,AMP-AD,Mayo-UFL-ISB,Mayo,RNA,
ENSG00000133958,UNC79,AMP-AD,MSSM - Zhang Lab,MSBB,"Genetics, RNA",
ENSG00000156467,UQCRB,AMP-AD,MSSM - Zhang Lab,MSBB,Protein,
ENSG00000010256,UQCRC1,AMP-AD,Columbia-Rush,ROSMAP,"Protein, Clinical",
ENSG00000140740,UQCRC2,AMP-AD,MSSM - Zhang Lab,MSBB,Protein,
ENSG00000169021,UQCRFS1,AMP-AD,MSSM - Zhang Lab,MSBB,Protein,
ENSG00000170236,USP50,AMP-AD,ASU,VirusResilience,RNA,
ENSG00000148429,USP6NL,AMP-AD,MSSM - Roussos Lab,FreshMicro,"Genetics, RNA",
ENSG00000152818,UTRN,AMP-AD,MSSM - Zhang Lab,MSBB,Protein,
ENSG00000141968,VAV1,TREAT-AD,IUSM-Purdue,"GSE5281, GSE48350, GSE33000, GSE44772, ROSMAP, MSBB, Mayo, ABA","Genetics, RNA",
ENSG00000038427,VCAN,AMP-AD,Emory,"ACT, BLSA, Banner",Protein,
ENSG00000165280,VCP,AMP-AD,Emory,"ACT, BLSA, Banner",Protein,
ENSG00000112715,VEGFA,Resilience-AD,Mayo,MC_snRNA,"Genetics, RNA",
ENSG00000128564,VGF,AMP-AD,Columbia-Rush,ROSMAP,"Genetics, RNA, Protein, Clinical",
ENSG00000128564,VGF,AMP-AD,Emory,"ACT, BLSA, Banner",Protein,
ENSG00000128564,VGF,AMP-AD,Mayo-UFL-ISB,Mayo,RNA,
ENSG00000128564,VGF,AMP-AD,MSSM - Zhang Lab,MSBB,"Genetics, RNA",
ENSG00000026025,VIM,AMP-AD,MSSM - Zhang Lab,MSBB,"Genetics, Protein",
ENSG00000167397,VKORC1,AMP-AD,Emory,"https://doi.org/10.1038/s41588-018-0311-9, https://doi.org/10.1038/s41588-019-0358-2","Genetics, Protein",
