source,target,top_n_genes,arm,auroc,auprc,balanced_accuracy,brier
GSE63060,GSE63061,200,null_label_permutation,0.5583333333333333,0.5920196566006866,0.5505952380952381,0.3433822430969168
GSE63060,GSE63061,1000,source_only,0.7369047619047618,0.7769113785384331,0.6172619047619048,0.2984956788589605
GSE63060,GSE63061,200,source_plus_target,0.7833333333333333,0.8255405964651722,0.7327380952380953,0.1950326401525899
GSE63060,GSE63061,1000,target_only,0.6857142857142857,0.7325063048874387,0.5964285714285715,0.2934889474489702
GSE63061,GSE63060,1000,null_label_permutation,0.4860703812316715,0.6394020559242646,0.4435483870967742,0.3771000615585473
GSE63061,GSE63060,1000,source_only,0.6942815249266863,0.7003143258354807,0.5,0.4133333328788231
GSE63061,GSE63060,1000,source_plus_target,0.8973607038123167,0.9387965068302022,0.7382697947214076,0.1651314111262844
GSE63061,GSE63060,200,target_only,0.9171554252199412,0.9464623498604032,0.7950879765395895,0.1444018548530662
