source,target,feature_mode,top_n_genes,perm_index,null_perm_auroc
GSE63060,GSE63061,var,1000,2,0.5327380952380953
GSE63060,GSE63061,var,1000,3,0.5
GSE63060,GSE63061,var,1000,4,0.4648809523809524
GSE63060,GSE63061,var,1000,5,0.6095238095238096
GSE63060,GSE63061,var,1000,6,0.5148809523809524
GSE63060,GSE63061,var,1000,7,0.5285714285714286
GSE63060,GSE63061,var,1000,8,0.46249999999999997
GSE63060,GSE63061,var,1000,9,0.581547619047619
GSE63060,GSE63061,var,1000,10,0.4660714285714286
GSE63060,GSE63061,var,1000,11,0.44880952380952377
GSE63060,GSE63061,var,1000,12,0.5339285714285714
GSE63060,GSE63061,var,1000,13,0.6089285714285714
GSE63060,GSE63061,var,1000,14,0.4125
GSE63060,GSE63061,var,1000,15,0.5476190476190477
GSE63060,GSE63061,var,1000,16,0.44285714285714284
GSE63060,GSE63061,var,1000,17,0.5422619047619047
GSE63060,GSE63061,var,1000,18,0.5654761904761905
GSE63060,GSE63061,var,1000,19,0.5577380952380953
GSE63060,GSE63061,var,1000,20,0.6238095238095238
GSE63060,GSE63061,var,1000,21,0.4398809523809524
GSE63060,GSE63061,var,1000,22,0.5345238095238095
GSE63060,GSE63061,var,1000,23,0.5577380952380953
GSE63060,GSE63061,var,1000,24,0.5958333333333333
GSE63060,GSE63061,var,1000,25,0.5392857142857143
GSE63060,GSE63061,var,1000,26,0.45833333333333337
GSE63060,GSE63061,var,1000,27,0.4702380952380953
GSE63060,GSE63061,var,1000,28,0.6125
GSE63060,GSE63061,var,1000,29,0.5041666666666667
GSE63060,GSE63061,var,1000,30,0.4708333333333333
GSE63060,GSE63061,var,1000,31,0.43333333333333335
GSE63060,GSE63061,var,1000,32,0.48035714285714287
GSE63060,GSE63061,var,1000,33,0.5952380952380952
GSE63060,GSE63061,var,1000,34,0.5017857142857143
GSE63060,GSE63061,var,1000,35,0.47619047619047616
GSE63060,GSE63061,var,1000,36,0.5142857142857142
GSE63060,GSE63061,var,1000,37,0.5577380952380953
GSE63060,GSE63061,var,1000,38,0.46130952380952384
GSE63060,GSE63061,var,1000,39,0.46190476190476193
GSE63060,GSE63061,var,1000,40,0.4464285714285714
GSE63060,GSE63061,var,1000,41,0.5041666666666667
GSE63060,GSE63061,var,1000,42,0.35059523809523807
GSE63060,GSE63061,var,1000,43,0.525
GSE63060,GSE63061,var,1000,44,0.3053571428571429
GSE63060,GSE63061,var,1000,45,0.4892857142857143
GSE63060,GSE63061,var,1000,46,0.47738095238095235
GSE63060,GSE63061,var,1000,47,0.6321428571428571
GSE63060,GSE63061,var,1000,48,0.5172619047619048
GSE63060,GSE63061,var,1000,49,0.5351190476190476
GSE63060,GSE63061,var,1000,50,0.49404761904761907
GSE63060,GSE63061,var,1000,51,0.44107142857142856
GSE63060,GSE63061,var,1000,52,0.5535714285714286
GSE63060,GSE63061,var,1000,53,0.511904761904762
GSE63060,GSE63061,var,1000,54,0.5071428571428571
GSE63060,GSE63061,var,1000,55,0.5119047619047619
GSE63060,GSE63061,var,1000,56,0.575
GSE63060,GSE63061,var,1000,57,0.4797619047619047
GSE63060,GSE63061,var,1000,58,0.4398809523809524
GSE63060,GSE63061,var,1000,59,0.45059523809523816
GSE63060,GSE63061,var,1000,60,0.4285714285714286
GSE63060,GSE63061,var,1000,61,0.4273809523809524
GSE63060,GSE63061,var,1000,62,0.5523809523809524
GSE63060,GSE63061,var,1000,63,0.5279761904761905
GSE63060,GSE63061,var,1000,64,0.5220238095238096
GSE63060,GSE63061,var,1000,65,0.4928571428571429
GSE63060,GSE63061,var,1000,66,0.3827380952380952
GSE63060,GSE63061,var,1000,67,0.549404761904762
GSE63060,GSE63061,var,1000,68,0.4738095238095238
GSE63060,GSE63061,var,1000,69,0.5577380952380953
GSE63060,GSE63061,var,1000,70,0.3642857142857143
GSE63060,GSE63061,var,1000,71,0.6226190476190476
GSE63060,GSE63061,var,1000,72,0.3196428571428571
GSE63060,GSE63061,var,1000,73,0.5226190476190475
GSE63060,GSE63061,var,1000,74,0.3869047619047619
GSE63060,GSE63061,var,1000,75,0.4636904761904762
GSE63060,GSE63061,var,1000,76,0.4583333333333333
GSE63060,GSE63061,var,1000,77,0.48214285714285715
GSE63060,GSE63061,var,1000,78,0.518452380952381
GSE63060,GSE63061,var,1000,79,0.4898809523809524
GSE63060,GSE63061,var,1000,80,0.3761904761904762
GSE63060,GSE63061,var,1000,81,0.48750000000000004
GSE63060,GSE63061,var,1000,82,0.5178571428571428
GSE63060,GSE63061,var,1000,83,0.42738095238095236
GSE63060,GSE63061,var,1000,84,0.5345238095238095
GSE63060,GSE63061,var,1000,85,0.5017857142857143
GSE63060,GSE63061,var,1000,86,0.5928571428571429
GSE63060,GSE63061,var,1000,87,0.46726190476190477
GSE63060,GSE63061,var,1000,88,0.530952380952381
GSE63060,GSE63061,var,1000,89,0.5047619047619047
GSE63060,GSE63061,var,1000,90,0.46904761904761905
