source,target,feature_mode,top_n_genes,arm,auroc,auroc_boot_mean,auroc_ci95_lo,auroc_ci95_hi
GSE63060,GSE63061,agora_only,200,null_label_permutation_avg100_prob,0.55,0.5505394403330874,0.4285628485628486,0.6697138551789714
GSE63060,GSE63061,agora_only,200,source_only,0.7160714285714286,0.7155140776993003,0.6064256008679203,0.8181967703349282
GSE63060,GSE63061,agora_only,200,source_plus_target_combat_transductive,0.7458333333333333,0.7468516573094129,0.6400562078898544,0.8474280097804672
GSE63060,GSE63061,agora_only,200,source_plus_target_raw,0.7476190476190476,0.7492211151484978,0.6406479690522244,0.8435466144999162
GSE63060,GSE63061,agora_only,200,target_only,0.7291666666666666,0.731270101542725,0.6180639093085181,0.8303247000901463
GSE63060,GSE63061,agora_only,1000,null_label_permutation_avg100_prob,0.5952380952380952,0.5993943963571903,0.4792492492492493,0.7230803571428571
GSE63060,GSE63061,agora_only,1000,source_only,0.7142857142857143,0.7163170798077658,0.5950314141805048,0.8184740767952977
GSE63060,GSE63061,agora_only,1000,source_plus_target_combat_transductive,0.7357142857142857,0.7395007838775762,0.6243747863978127,0.8424252717391304
GSE63060,GSE63061,agora_only,1000,source_plus_target_raw,0.736904761904762,0.7394883148328354,0.6204003405319194,0.8372841771197035
GSE63060,GSE63061,agora_only,1000,target_only,0.6511904761904762,0.656390014816653,0.527477315832579,0.7674556949766889
GSE63060,GSE63061,de_agora_intersection,200,null_label_permutation_avg100_prob,0.643452380952381,0.6459535082279583,0.5219180002900933,0.763565105428542
GSE63060,GSE63061,de_agora_intersection,200,source_only,0.6101190476190477,0.614182000208002,0.5018206889500297,0.7377018109375648
GSE63060,GSE63061,de_agora_intersection,200,source_plus_target_combat_transductive,0.6535714285714286,0.6579207109175558,0.5298999418078365,0.7705967058292639
GSE63060,GSE63061,de_agora_intersection,200,source_plus_target_raw,0.6607142857142857,0.6656121356321267,0.540428645557322,0.7745425507939809
GSE63060,GSE63061,de_agora_intersection,200,target_only,0.6089285714285714,0.6130456367999736,0.4907528097829928,0.7280871712574187
GSE63060,GSE63061,de_agora_intersection,1000,null_label_permutation_avg100_prob,0.5964285714285714,0.6003715102099942,0.47005501314711845,0.7186511672691774
GSE63060,GSE63061,de_agora_intersection,1000,source_only,0.7321428571428571,0.7336916850574927,0.6125852874933757,0.8360413236860673
GSE63060,GSE63061,de_agora_intersection,1000,source_plus_target_combat_transductive,0.725,0.728873486822486,0.6148786363829969,0.8348339166885712
GSE63060,GSE63061,de_agora_intersection,1000,source_plus_target_raw,0.7398809523809524,0.7421918459642362,0.6227627627627627,0.8423177973342446
GSE63060,GSE63061,de_agora_intersection,1000,target_only,0.6642857142857143,0.6691470904467449,0.5478509585652444,0.7781852159468439
GSE63060,GSE63061,de_ttest,200,null_label_permutation_avg100_prob,0.38035714285714284,0.38187675881983774,0.25535334516019376,0.516168472073185
GSE63060,GSE63061,de_ttest,200,source_only,0.756547619047619,0.759167411412503,0.6513008373205741,0.8600712397179787
GSE63060,GSE63061,de_ttest,200,source_plus_target_combat_transductive,0.7148809523809524,0.7171257477503823,0.5984527178583028,0.8229427549194989
GSE63060,GSE63061,de_ttest,200,source_plus_target_raw,0.8089285714285714,0.8110552575272777,0.7171052631578948,0.8915136872453407
GSE63060,GSE63061,de_ttest,200,target_only,0.7208333333333334,0.7238704508107235,0.6085635683854148,0.8248803466807629
GSE63060,GSE63061,de_ttest,1000,null_label_permutation_avg100_prob,0.47738095238095235,0.47958856836092834,0.35465354336605864,0.6070595522898155
GSE63060,GSE63061,de_ttest,1000,source_only,0.7488095238095238,0.7535895885988957,0.6471256736939112,0.8504721024047917
GSE63060,GSE63061,de_ttest,1000,source_plus_target_combat_transductive,0.8017857142857143,0.805405497810608,0.7083860715477911,0.8894943512385373
GSE63060,GSE63061,de_ttest,1000,source_plus_target_raw,0.8178571428571428,0.8222134026452667,0.7275004475191168,0.9034115510859696
GSE63060,GSE63061,de_ttest,1000,target_only,0.6958333333333333,0.7011508782999155,0.576750262605042,0.8049212627261408
GSE63060,GSE63061,var,200,null_label_permutation_avg100_prob,0.5017857142857143,0.5018127015212636,0.3732053082310519,0.6342698512465954
GSE63060,GSE63061,var,200,source_only,0.5684523809523809,0.5695863938918735,0.43890510446175957,0.6932573331752054
GSE63060,GSE63061,var,200,source_plus_target_combat_transductive,0.7172619047619048,0.7190485798450423,0.6094092607973421,0.8268525055370984
GSE63060,GSE63061,var,200,source_plus_target_raw,0.7130952380952381,0.7157147908762267,0.6032061814575717,0.8212970601985533
GSE63060,GSE63061,var,200,target_only,0.6244047619047618,0.6302603146727999,0.5026025997530362,0.7424448845877417
GSE63060,GSE63061,var,1000,null_label_permutation_avg100_prob,0.46726190476190477,0.47073718412748916,0.3518789985637812,0.5986734693877551
GSE63060,GSE63061,var,1000,source_only,0.738095238095238,0.739655784727474,0.6246063736927524,0.8440704595791805
GSE63060,GSE63061,var,1000,source_plus_target_combat_transductive,0.7261904761904763,0.7286317837411327,0.6171598559029708,0.8348606204989183
GSE63060,GSE63061,var,1000,source_plus_target_raw,0.7523809523809524,0.7551680180475596,0.6474331845760417,0.8527320713252476
GSE63060,GSE63061,var,1000,target_only,0.6910714285714287,0.6966863976645556,0.5827376575630251,0.8039676937968864
GSE63061,GSE63060,agora_only,200,null_label_permutation_avg100_prob,0.43035190615835783,0.4281773662858557,0.2986645687915578,0.556231923120221
GSE63061,GSE63060,agora_only,200,source_only,0.7653958944281525,0.7664006463519997,0.6402578344620496,0.8778984487734488
GSE63061,GSE63060,agora_only,200,source_plus_target_combat_transductive,0.8717008797653959,0.8717470007424235,0.7834327716356592,0.9473331648129424
GSE63061,GSE63060,agora_only,200,source_plus_target_raw,0.8973607038123167,0.8976752923647543,0.8235183878648911,0.9578843213238374
GSE63061,GSE63060,agora_only,200,target_only,0.8731671554252199,0.874589868781283,0.7857116901993356,0.9475699971218379
GSE63061,GSE63060,agora_only,1000,null_label_permutation_avg100_prob,0.2998533724340176,0.29834728004748967,0.17815078158923145,0.42522333333333323
GSE63061,GSE63060,agora_only,1000,source_only,0.783724340175953,0.7842851423316745,0.6640434961863534,0.8789272030651342
GSE63061,GSE63060,agora_only,1000,source_plus_target_combat_transductive,0.8115835777126099,0.8120610398195075,0.7008333333333333,0.9032276200609373
GSE63061,GSE63060,agora_only,1000,source_plus_target_raw,0.8548387096774194,0.8558719214482219,0.7659502485300358,0.9373219373219374
GSE63061,GSE63060,agora_only,1000,target_only,0.8475073313782991,0.8488599444164657,0.742470142243693,0.9395868244658567
GSE63061,GSE63060,de_agora_intersection,200,null_label_permutation_avg100_prob,0.499266862170088,0.49827923767873916,0.34328618315475695,0.6456530454583334
GSE63061,GSE63060,de_agora_intersection,200,source_only,0.6796187683284457,0.6801863497337963,0.5438849206349206,0.8059710340531561
GSE63061,GSE63060,de_agora_intersection,200,source_plus_target_combat_transductive,0.8057184750733137,0.806969304527904,0.6982893518518518,0.9123018562906996
GSE63061,GSE63060,de_agora_intersection,200,source_plus_target_raw,0.8658357771260997,0.866837775132381,0.7746934216192937,0.9495037763654784
GSE63061,GSE63060,de_agora_intersection,200,target_only,0.8951612903225807,0.8965710049962325,0.7985888532763533,0.96795
GSE63061,GSE63060,de_agora_intersection,1000,null_label_permutation_avg100_prob,0.3291788856304985,0.3276097198070081,0.20601623184734888,0.4566277179435074
GSE63061,GSE63060,de_agora_intersection,1000,source_only,0.8108504398826979,0.8119338273737325,0.7059194928940569,0.9018791586499919
GSE63061,GSE63060,de_agora_intersection,1000,source_plus_target_combat_transductive,0.8196480938416423,0.8204132762056026,0.7092826101547032,0.909676320202636
GSE63061,GSE63060,de_agora_intersection,1000,source_plus_target_raw,0.8541055718475073,0.8547584577871502,0.7644005310798624,0.9354159708073082
GSE63061,GSE63060,de_agora_intersection,1000,target_only,0.8255131964809385,0.8266599463317016,0.71208574034661,0.9270568180663
GSE63061,GSE63060,de_ttest,200,null_label_permutation_avg100_prob,0.4046920821114369,0.4040377257125535,0.27213943001443003,0.5368203555703556
GSE63061,GSE63060,de_ttest,200,source_only,0.8365102639296188,0.8370337228624072,0.7385974262636497,0.9189890873015873
GSE63061,GSE63060,de_ttest,200,source_plus_target_combat_transductive,0.8812316715542522,0.8813075631922165,0.7928382034632036,0.9554967532467532
GSE63061,GSE63060,de_ttest,200,source_plus_target_raw,0.9002932551319648,0.9009588274434338,0.8150701970250841,0.9697746459694989
GSE63061,GSE63060,de_ttest,200,target_only,0.845307917888563,0.8454455043056566,0.7507713117753012,0.930855649303008
GSE63061,GSE63060,de_ttest,1000,null_label_permutation_avg100_prob,0.4142228739002932,0.4150259144968396,0.28851397496746856,0.5457413654283968
GSE63061,GSE63060,de_ttest,1000,source_only,0.8636363636363636,0.8625242332247862,0.7762918248694827,0.9337738095238094
GSE63061,GSE63060,de_ttest,1000,source_plus_target_combat_transductive,0.907624633431085,0.9072041684696271,0.8266632653061224,0.9681659663865546
GSE63061,GSE63060,de_ttest,1000,source_plus_target_raw,0.9120234604105572,0.9122731227420221,0.8428981348637017,0.9681845660249915
GSE63061,GSE63060,de_ttest,1000,target_only,0.8907624633431086,0.8915372227907898,0.8020439045472648,0.9656028571428571
GSE63061,GSE63060,var,200,null_label_permutation_avg100_prob,0.48826979472140764,0.4874790374061838,0.3530422193918239,0.6250313845050215
GSE63061,GSE63060,var,200,source_only,0.7998533724340176,0.8008976259123101,0.695208211866289,0.8897642247510668
GSE63061,GSE63060,var,200,source_plus_target_combat_transductive,0.8152492668621701,0.8149330702564981,0.715787037037037,0.8996960486322189
GSE63061,GSE63060,var,200,source_plus_target_raw,0.8291788856304986,0.8290708738674316,0.7308453071750943,0.9110097939885174
GSE63061,GSE63060,var,200,target_only,0.8636363636363636,0.8636911085231815,0.7624394421216929,0.9462195767195768
