source,target,feature_mode,top_n_genes,n_perm,null_perm_auroc_mean,null_perm_auroc_std,null_perm_auroc_q01,null_perm_auroc_q05,null_perm_auroc_q95,null_perm_auroc_q99
GSE63060,GSE63061,de_ttest,1000,1000,0.5005678571428571,0.07289451530392775,0.33331547619047625,0.3821130952380952,0.6143452380952381,0.6684642857142857
GSE63061,GSE63060,de_ttest,1000,1000,0.4947140762463343,0.08883915413536925,0.29911290322580647,0.348900293255132,0.6451979472140762,0.7009017595307918
