gene,de_score,distortion_score
NDUFA1,7.051908642366246,0.8621615332814578
ILMN_1792528,6.9098679345336,1.0681424148977854
RPS25,6.825188578984546,0.8646180196761366
NDUFS5,6.52762649284552,0.9253829535773788
ILMN_1652073,6.484573904106504,0.8611365019198012
ABCA2,5.993916441926187,1.0471985768542307
SHFM1,5.7628529904542845,1.0895387699537966
CSNK1G2,5.739056183858935,1.7311529891107396
RPS27A,5.682063869330641,0.9603855098074287
ZMAT2,5.6726237663736425,1.0352221944786217
ATP5J,5.619287271274336,0.8655381021830629
ILMN_1754990,5.483555429838804,1.292797898488664
ILMN_1682912,5.458426113179056,1.2783856766316741
ILMN_1715926,5.431454358621024,1.2160150391931905
FGD3,5.408181329550988,1.4000317379969716
GTF2H5,5.376743260917442,1.5491029297615986
GNS,5.319401874209622,1.2456233303960684
ATP5I,5.2819415138626935,1.0318988439428103
GTF2A2,5.1420031985545664,0.8681400636529043
SRP19,5.053956043322231,0.9116220723032332
MLKL,5.038210461467583,0.9832154486889118
ANKS1A,4.987181238517617,1.0857228196590434
KLF6,4.953193598825945,0.8767913815367055
GPN3,4.931866334387991,1.189587043842787
FABP5,4.909119815353868,1.100535854425615
ZZEF1,4.896285781364782,1.052272122741367
NPEPL1,4.82926294394915,0.9749477718214408
SRP14,4.825445256702057,1.4185611420647062
C7ORF43,4.818766359617551,0.8993547111024135
SLC44A2,4.7896069840696605,1.2711537798999688
ILMN_1665540,4.76873252444291,1.2198079172457708
ENSA,4.76073699543056,1.1408760994272016
RHBDF2,4.747639286646934,0.9037789402416362
ILMN_1776483,4.746906271498164,1.40122437405473
RPL41,4.738353330491867,1.2369671820364
VCAN,4.7311899998578895,0.9234004952884965
RAD51C,4.7260648734575765,1.1678754395730913
RPL30,4.709507290330296,0.9966387146072943
IKBKB,4.70602919314301,1.1346090681802363
LCOR,4.657872831085398,1.4519457375698073
FGR,4.632433928232979,1.3295145107521162
PTPRE,4.6073995969284915,1.0277524222191896
RIPK3,4.564977895746558,1.0090396462817426
RPS27,4.5163421469752585,1.3735778459919463
LILRB3,4.507186415609066,1.3886462048880963
UQCRHL,4.505400261771823,1.0025244849537067
ILMN_1880611,4.5005105011405435,1.1362107485640023
PLOD1,4.500467362027234,1.35445022110986
ARHGAP9,4.4965321450316775,1.1591913727317154
GPER1,4.470563257565793,1.1192357063230292
SNRNP40,4.463972147904808,1.4109183555955527
UQCRBP1,4.461474376826558,1.2581864881903568
ILMN_1655710,4.457975784985003,0.9499771137076345
ILMN_1697665,4.454291279505062,1.0825497232413699
FNBP1,4.424204377595498,1.1583006165329928
ATP6AP1,4.407479904392701,1.1929686241551758
CHD2,4.392000730229156,1.0907843976111664
UNC13D,4.380339146855421,0.9966500032341666
LSM3,4.3700093642238915,0.8978012988380588
SNRPD2,4.367076956929322,1.0448493201968712
RARS,4.363142582645816,0.9870110764505882
ILMN_1688818,4.359631478344579,0.9367400369892568
STX8,4.3580435332384875,1.0280499059246417
LRCH4,4.356990836445575,0.878083942174842
ILMN_1698519,4.3490125244542135,0.8783453235456165
EFHD2,4.33978231583967,1.1525931581232065
MRPS18C,4.3354343238359565,1.3088134301967265
PSMA3,4.322890889621253,1.2774291711436212
GIMAP7,4.308169811324192,1.1848972551567694
RPS12,4.307294593959021,0.9471393951803811
SRRM2,4.296780982035307,0.9050414805200182
HLA-H,4.260574693353484,1.0717043606017018
C10ORF54,4.258289889235995,1.2669705726343587
SLC16A12,4.247354375990559,1.15678959617882
