direction,mode,tau,gene_count,auroc,auprc,balanced_accuracy,brier
GSE63060->GSE63061,de_ttest_baseline,N/A,1000,0.786904761904762,0.7920989296375003,0.6928571428571428,0.23885238024822272
GSE63060->GSE63061,bdp_fs_v2_masterpiece,Adaptive,1000,0.7410714285714286,0.7422293890105086,0.7059523809523809,0.2523913130697706
GSE63060->GSE63061,bdp_fs_v1_legacy,1.0,1000,0.786904761904762,0.7920989296375003,0.6928571428571428,0.23885238024822272
GSE63060->GSE63061,bdp_fs_v1_legacy,0.95,1000,0.7773809523809524,0.7801889832858702,0.6690476190476191,0.24617623974079003
GSE63060->GSE63061,bdp_fs_v1_legacy,0.9,1000,0.7619047619047619,0.7680493758194405,0.6690476190476191,0.25228455109746384
GSE63060->GSE63061,bdp_fs_v1_legacy,0.85,1000,0.7488095238095239,0.7573357740265658,0.656547619047619,0.26391806526641076
GSE63060->GSE63061,bdp_fs_v1_legacy,0.8,1000,0.7238095238095238,0.7325978225061848,0.6696428571428572,0.27056683972552714
GSE63060->GSE63061,bdp_fs_v1_legacy,0.75,1000,0.7458333333333333,0.7448705282554192,0.6696428571428572,0.24676694032540372
GSE63060->GSE63061,bdp_fs_v1_legacy,0.7,1000,0.7589285714285714,0.7511586314847076,0.718452380952381,0.23592694002429607
GSE63060->GSE63061,bdp_fs_v1_legacy,0.6,1000,0.7595238095238095,0.775310399933427,0.680952380952381,0.2559019946167415
GSE63060->GSE63061,bdp_fs_v1_legacy,0.5,1000,0.769047619047619,0.7555550082509987,0.7053571428571428,0.22917099407206332
GSE63061->GSE63060,de_ttest_baseline,N/A,1000,0.8775659824046921,0.9257063620625082,0.7478005865102639,0.17725627283947046
GSE63061->GSE63060,bdp_fs_v2_masterpiece,Adaptive,1000,0.8804985337243402,0.9271434322297347,0.7752932551319649,0.17491787055197705
GSE63061->GSE63060,bdp_fs_v1_legacy,1.0,1000,0.8775659824046921,0.9257063620625082,0.7478005865102639,0.17725627283947046
GSE63061->GSE63060,bdp_fs_v1_legacy,0.95,1000,0.8775659824046921,0.9257063620625082,0.7478005865102639,0.17725627283947046
GSE63061->GSE63060,bdp_fs_v1_legacy,0.9,1000,0.8790322580645161,0.9259837801147957,0.7639296187683284,0.17659402999027998
GSE63061->GSE63060,bdp_fs_v1_legacy,0.85,1000,0.8841642228739003,0.9297199468150764,0.8027859237536656,0.15808553770337191
GSE63061->GSE63060,bdp_fs_v1_legacy,0.8,1000,0.8892961876832844,0.9268818825649965,0.7914222873900294,0.1541497590994148
GSE63061->GSE63060,bdp_fs_v1_legacy,0.75,1000,0.8988269794721407,0.9338446867484635,0.8302785923753666,0.13374257517541047
GSE63061->GSE63060,bdp_fs_v1_legacy,0.7,1000,0.8966275659824047,0.9285170810058341,0.8189149560117301,0.14115588624043893
GSE63061->GSE63060,bdp_fs_v1_legacy,0.6,1000,0.907624633431085,0.9397152635120986,0.7980205278592376,0.14485546551524406
GSE63061->GSE63060,bdp_fs_v1_legacy,0.5,1000,0.904692082111437,0.9266122626629328,0.8255131964809383,0.12135053842847812
