source,target,feature_mode,top_n_genes,model,auroc,auprc
GSE63060,GSE63061,de_ttest,1000,logistic_regression,0.6958333333333333,0.7250402456012852
GSE63060,GSE63061,de_ttest,1000,linear_svm,0.6940476190476191,0.7215833778472063
GSE63060,GSE63061,de_ttest,1000,random_forest,0.7276785714285714,0.8051795097993363
GSE63061,GSE63060,de_ttest,1000,logistic_regression,0.8907624633431086,0.9139532407708526
GSE63061,GSE63060,de_ttest,1000,linear_svm,0.8841642228739003,0.9065188284371998
GSE63061,GSE63060,de_ttest,1000,random_forest,0.876099706744868,0.9016954177854957
